building_id,year_built,major_revision_year,expected_life,gsf,gsa_rsf,usf,indoor_parking,outdoor_parking,land_acreage,number_of_floors,regular_occupants,weekday_open,weekday_close,sat_open,sat_close,sun_open,sun_close,hours_per_week,male_female_ratio
OH0033ZZ,1910,Jun-05,,251314,185105,93790,13,0,1.1,6,105,630,600,0,0,0,0,60,50/50
UT1434ZZ,1900,2004,,105000,102579,94562,0,360,2.971,4+partially conditio,514,400,200,500,1700,0,0,120,Oct-90
CA0309ZZ,2005,,,"495,914","393,243","279,618",97,25,3.9,11,235,700,1800,0,0,0,0,68,50/50
CO0061ZZ,2002,,,327103,256718,188142,47,0,0,13,170,600,1900,0,0,0,0,65,50/50
IA0027ZZ,1933,2005,2025,79872,68391,48836,7,20,0.7,4,45,600,2000,0,0,0,0,70,50/50
TN0076ZZ,1986,2005,,172684,120171,93040,74,17,1.7,8,285,600,1700,600,1300,0,0,65,70/30
OH0302ZZ,2002,,,52240,44476,31421,5,72,3.1,4,45,600,600,0,0,0,0,60,50/50
CO1923ZZ,2004,,,128342,122225,88901,375,50,6.6,3,318,600,1900,0,0,0,0,70,60/40
NE1430ZZ,2005,,2055,86000,73459,64549,76,295,10.3,1,65,600,700,somespac,,somespac,,112,50/50
NE1425ZZ,2004,n/a,,68000,62772,,0,215,4.81,3,125,600,1800,900,1700,900,1700,70,55/45
TN0012ZZ,2001,,,160975,136104,99957,10,53,3.6,4,85,700,1700,0,0,0,0,70,50/50
CA0200ZZ,1975,2005,,280365,205378,164946,96,180,2.1,10,409,700,1700,0,0,0,0,70,50/50
MI0724SB,2005,,,63874,39709,29263,38,40,0,2,74,0,2400,0,2400,0,2400,168,75/25
MT0767AI,2003,,,98196,84928,61826,16,30,11.8,3,190,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,168,75/25
