code_fip,name,permits
001,Ada,37296
003,Adams,537
005,Bannock,3523
007,Bear Lake,466
009,Benewah,248
011,Bingham,1532
013,Blaine,1998
015,Boise,955
017,Bonner,314
019,Bonneville,7351
021,Boundary,827
023,Butte,42
025,Camas,191
027,Canyon,20195
029,Caribou,180
031,Cassia,574
033,Clark,56
035,Clearwater,260
037,Custer,58
039,Elmore,1555
041,Franklin,728
043,Fremont,1315
045,Gem,978
047,Gooding,614
049,Idaho,61
051,Jefferson,2133
053,Jerome,1151
055,Kootenai,13595
057,Latah,910
059,Lemhi,439
061,Lewis,71
063,Lincoln,204
065,Madison,1664
067,Minidoka,262
069,Nez Perce,875
071,Oneida,176
073,Owyhee,504
075,Payette,1164
077,Power,154
079,Shoshone,134
081,Teton,2162
083,Twin Falls,5208
085,Valley,2318
087,Washington,416
